season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,year,month,day
2,0,1,1,21.32,25.0,83,11.0014,5,15,2011,5,13
4,0,1,3,16.4,20.455,82,0.0,13,191,2011,10,3
2,0,1,3,22.14,25.76,68,19.0012,22,84,2011,4,12
4,1,0,1,22.96,26.515,64,15.0013,105,314,2012,11,12
2,0,0,1,18.86,22.725,31,8.9981,240,109,2011,4,3
3,0,0,1,32.8,40.15,66,0.0,19,33,2012,7,8
4,0,1,2,13.12,16.665,57,7.0015,8,124,2011,12,12
2,0,1,2,22.14,25.76,45,23.9994,35,55,2011,4,4
1,0,1,1,13.12,15.91,57,12.998,3,1,2011,2,17
2,0,1,1,22.96,26.515,64,6.0032,18,123,2011,5,11
3,0,0,2,27.88,31.82,83,26.0027,40,127,2011,8,13
3,0,1,1,25.42,29.545,73,12.998,7,13,2011,7,15
4,0,0,1,16.4,20.455,50,11.0014,92,334,2012,12,15
3,0,0,1,29.52,35.605,84,15.0013,109,203,2012,7,15
2,0,0,3,18.04,21.97,94,15.0013,4,49,2011,4,16
3,0,0,2,29.52,34.85,79,30.0026,81,130,2011,8,6
2,0,1,1,22.14,25.76,28,16.9979,115,237,2012,4,13
2,0,0,1,27.06,30.305,78,15.0013,19,100,2011,6,12
4,0,0,1,18.86,22.725,59,27.9993,8,17,2011,10,1
3,0,1,1,27.06,29.545,89,0.0,4,3,2011,8,8
2,0,1,1,27.06,31.06,61,0.0,43,149,2012,5,16
3,0,1,2,28.7,33.335,79,23.9994,15,105,2011,9,8
2,0,1,1,13.94,15.91,66,16.9979,3,86,2011,5,5
2,0,0,1,13.12,15.15,33,19.0012,14,40,2012,4,7
3,0,1,3,27.88,31.82,79,43.0006,30,130,2012,9,18
3,0,0,1,20.5,24.24,77,7.0015,28,43,2012,9,16
1,0,1,1,18.04,21.97,72,6.0032,14,367,2012,3,15
2,0,1,1,28.7,32.575,54,8.9981,55,212,2012,5,16
2,0,0,1,29.52,32.575,37,15.0013,264,309,2012,6,16
3,0,1,1,30.34,34.85,66,7.0015,70,311,2012,8,8
1,0,0,1,22.96,26.515,64,6.0032,233,308,2012,3,18
2,0,1,1,31.16,33.335,27,0.0,33,131,2011,6,15
2,0,0,2,25.42,30.305,61,0.0,181,363,2012,5,6
1,0,1,1,9.84,12.88,52,6.0032,5,2,2011,3,8
3,0,1,2,28.7,32.575,54,12.998,107,301,2012,9,14
4,0,1,1,21.32,25.0,63,22.0028,10,104,2011,12,15
2,0,0,3,21.32,25.0,83,11.0014,1,10,2012,5,6
2,0,1,2,18.86,22.725,100,15.0013,2,59,2011,4,11
1,0,1,3,9.02,10.605,93,15.0013,1,154,2011,2,2
1,0,1,1,15.58,19.695,40,31.0009,7,249,2011,2,14
1,0,1,2,8.2,9.09,40,19.0012,4,50,2011,1,10
4,0,0,2,14.76,16.665,46,26.0027,56,284,2012,11,3
3,0,1,1,26.24,30.305,69,7.0015,0,11,2012,8,13
4,0,1,2,22.14,25.76,100,7.0015,2,5,2011,10,13
1,0,1,1,2.46,7.575,45,0.0,0,43,2011,2,9
2,0,1,1,22.14,25.76,45,19.9995,8,98,2011,6,3
4,0,0,1,12.3,14.395,70,12.998,14,81,2012,11,18
2,0,1,1,25.42,30.305,69,30.0026,79,131,2011,5,17
4,0,0,3,14.76,18.18,93,7.0015,3,75,2012,12,9
4,1,0,1,13.12,15.91,39,12.998,13,78,2011,11,11
1,0,1,2,18.04,21.97,51,32.9975,1,3,2012,1,18
4,0,0,2,16.4,20.455,87,8.9981,43,244,2012,12,8
3,0,1,3,29.52,34.85,79,11.0014,19,73,2011,7,19
1,0,0,3,9.02,9.85,75,27.9993,12,134,2012,2,11
1,0,0,2,10.66,12.88,56,11.0014,1,1,2011,1,16
1,0,1,3,9.02,11.365,93,8.9981,4,0,2011,2,2
1,1,0,2,9.84,10.605,41,22.0028,3,63,2012,1,2
1,0,1,2,7.38,10.605,51,6.0032,3,214,2011,1,11
3,0,1,1,28.7,32.575,48,12.998,61,177,2011,7,15
3,0,1,2,27.88,31.82,65,8.9981,39,120,2011,9,15
3,0,0,2,26.24,28.79,83,15.0013,6,99,2012,8,18
1,0,1,2,13.12,16.665,45,8.9981,27,164,2012,2,10
4,0,1,1,14.76,18.18,40,7.0015,44,196,2012,11,6
1,0,0,1,9.02,10.605,44,19.9995,15,96,2012,3,10
1,0,0,2,9.02,9.85,100,26.0027,0,10,2011,3,6
4,0,1,1,28.7,32.575,48,12.998,90,214,2012,10,5
2,0,0,1,22.96,26.515,73,11.0014,44,113,2012,5,6
2,0,1,2,19.68,23.485,67,0.0,2,63,2011,4,19
2,0,1,2,24.6,29.545,69,8.9981,24,364,2011,6,16
4,0,1,2,25.42,27.275,94,7.0015,2,32,2012,10,3
3,0,0,3,23.78,27.275,83,8.9981,27,140,2012,9,8
1,0,1,3,18.04,21.97,0,19.9995,0,12,2011,3,10
3,0,1,1,22.14,25.76,83,0.0,1,40,2012,9,14
4,0,1,3,18.04,21.97,100,6.0032,3,47,2011,12,7
4,0,1,1,15.58,19.695,43,15.0013,33,185,2012,11,16
1,0,0,2,9.84,11.365,56,16.9979,20,73,2012,2,19
2,0,1,3,27.06,30.305,83,16.9979,19,76,2012,6,12
4,0,1,2,16.4,20.455,58,11.0014,49,199,2012,11,1
4,0,0,1,16.4,20.455,40,15.0013,149,300,2012,11,4
4,1,0,1,21.32,25.0,77,16.9979,12,100,2012,11,12
3,0,1,1,33.62,37.12,43,7.0015,64,352,2011,8,8
3,0,1,2,28.7,32.575,54,0.0,27,353,2012,7,13
3,0,1,2,32.8,37.12,52,16.9979,63,173,2012,8,8
3,0,1,1,31.98,38.635,70,7.0015,49,217,2012,9,5
3,0,1,1,27.06,30.305,83,11.0014,2,35,2012,8,3
1,0,1,1,13.94,15.15,31,26.0027,32,64,2011,3,7
4,0,1,1,10.66,13.635,65,8.9981,8,84,2011,12,8
4,0,1,1,18.04,21.97,82,8.9981,3,29,2011,10,5
3,0,0,1,29.52,33.335,58,12.998,119,241,2011,9,10
4,0,1,1,18.04,21.97,44,19.0012,11,161,2012,12,5
1,0,1,1,9.02,10.605,69,15.0013,0,5,2011,3,2
1,0,0,1,20.5,24.24,29,19.9995,201,286,2012,3,11
2,0,1,1,29.52,34.85,79,6.0032,51,240,2012,6,19
2,0,0,2,17.22,21.21,67,15.0013,187,258,2012,4,1
3,0,1,2,22.14,25.76,45,11.0014,49,176,2011,9,16
2,0,1,1,21.32,25.0,23,27.9993,172,483,2012,4,6
2,0,1,1,21.32,25.0,48,22.0028,1,5,2011,6,3
3,0,1,1,30.34,34.85,66,16.9979,50,236,2012,8,10
4,0,0,1,13.12,15.15,45,19.0012,23,184,2011,12,18
4,0,0,2,14.76,18.94,62,0.0,8,102,2012,12,16
2,0,1,1,21.32,25.0,77,16.9979,42,296,2012,5,2
1,0,0,1,15.58,19.695,46,11.0014,6,56,2012,1,7
3,0,1,1,26.24,29.545,78,8.9981,24,120,2011,9,13
1,0,1,1,10.66,13.635,41,7.0015,9,129,2012,3,6
4,0,0,1,13.94,16.665,53,8.9981,23,123,2012,10,13
3,0,0,1,27.06,31.06,39,8.9981,225,410,2012,9,16
2,0,1,1,24.6,28.79,78,8.9981,30,49,2012,5,17
3,0,0,1,30.34,34.85,70,16.9979,113,146,2011,8,13
2,0,1,1,14.76,18.18,71,7.0015,3,6,2011,5,6
3,0,0,1,29.52,34.09,66,16.9979,19,53,2011,7,10
4,0,1,1,16.4,20.455,76,8.9981,25,257,2011,11,2
2,0,1,2,20.5,24.24,88,15.0013,12,164,2011,4,11
1,0,1,2,10.66,15.15,56,0.0,0,6,2012,2,14
1,0,0,1,12.3,14.395,45,19.0012,5,39,2011,1,15
1,0,1,2,16.4,20.455,76,15.0013,33,67,2011,3,16
1,0,1,1,16.4,20.455,62,19.0012,11,67,2011,1,19
3,0,1,1,29.52,34.09,62,0.0,1,28,2012,7,5
3,0,0,1,33.62,35.605,30,19.0012,193,190,2011,7,2
3,0,0,3,37.72,44.695,42,19.0012,80,218,2012,7,8
4,0,1,2,19.68,23.485,77,6.0032,7,155,2012,10,9
3,0,1,1,31.98,34.85,40,11.0014,108,741,2012,7,9
3,0,1,1,21.32,25.0,63,15.0013,16,529,2012,9,19
1,0,1,1,12.3,13.635,42,27.9993,28,68,2011,3,7
3,0,0,1,26.24,30.305,65,11.0014,2,14,2012,8,12
3,0,1,1,31.16,34.85,52,19.0012,87,512,2011,9,14
1,0,0,1,7.38,10.605,37,6.0032,2,58,2012,1,15
3,0,1,1,27.06,31.06,74,19.0012,27,393,2011,8,18
4,0,0,1,12.3,14.395,56,16.9979,10,65,2011,12,3
1,0,1,1,9.02,9.09,32,31.0009,0,4,2011,2,15
2,0,0,1,21.32,25.0,59,7.0015,22,67,2012,6,3
3,0,1,1,24.6,31.06,53,19.9995,40,321,2012,9,10
4,0,0,1,22.96,26.515,83,12.998,22,184,2012,10,6
1,0,1,2,14.76,17.425,62,12.998,22,195,2011,3,15
4,0,1,1,13.12,15.91,70,11.0014,5,45,2011,12,15
2,0,0,1,22.14,25.76,88,0.0,53,138,2011,5,15
4,0,1,1,20.5,24.24,77,0.0,16,88,2011,10,17
1,0,0,2,16.4,20.455,87,0.0,31,137,2012,3,3
2,0,0,1,18.86,22.725,23,15.0013,32,86,2012,4,7
3,0,1,1,29.52,33.335,64,0.0,6,95,2011,8,9
2,0,1,2,26.24,30.305,69,27.9993,62,77,2011,4,11
1,0,1,2,6.56,9.09,80,8.9981,3,124,2011,2,4
3,0,0,1,32.8,38.635,59,32.9975,122,314,2012,7,15
3,0,1,2,26.24,30.305,73,6.0032,28,121,2011,9,2
2,0,1,1,25.42,31.06,35,0.0,26,145,2011,6,3
3,0,1,1,24.6,28.03,83,12.998,1,6,2011,8,15
3,0,1,3,31.16,34.85,55,8.9981,19,142,2011,8,3
4,0,1,1,12.3,14.395,39,15.0013,2,122,2012,11,8
1,0,1,1,13.12,16.665,76,8.9981,12,128,2011,3,17
4,0,1,1,16.4,20.455,40,19.9995,33,184,2012,11,13
1,0,1,1,20.5,24.24,29,16.9979,28,391,2012,1,6
2,0,1,2,31.16,34.85,52,16.9979,38,113,2011,6,7
1,0,0,1,9.02,11.365,51,8.9981,1,31,2011,2,12
2,0,0,1,23.78,27.275,46,8.9981,52,176,2012,6,2
4,0,1,2,22.14,25.76,77,12.998,38,245,2012,10,18
4,0,1,2,21.32,25.0,77,12.998,1,6,2011,10,19
3,0,1,1,27.06,29.545,89,12.998,1,7,2011,7,7
4,0,1,1,14.76,17.425,43,8.9981,20,161,2012,11,14
2,0,0,1,12.3,15.91,61,7.0015,8,26,2011,4,3
1,0,0,1,8.2,11.365,64,7.0015,5,34,2011,2,13
4,0,0,1,13.94,17.425,76,6.0032,26,82,2012,11,11
2,0,1,1,22.96,26.515,56,11.0014,4,25,2012,6,8
4,0,0,1,14.76,17.425,71,15.0013,17,71,2011,10,2
4,0,1,2,16.4,20.455,87,0.0,21,211,2012,12,17
3,0,1,1,37.72,41.665,33,15.0013,129,181,2012,7,5
2,0,1,1,24.6,31.06,38,7.0015,27,133,2011,4,7
2,0,0,3,21.32,25.0,83,15.0013,3,14,2012,5,6
1,0,1,1,11.48,12.88,61,19.9995,12,554,2012,3,7
1,0,0,2,12.3,15.15,70,8.9981,3,50,2012,2,11
2,0,0,2,20.5,24.24,72,12.998,75,139,2011,5,1
4,0,1,2,16.4,20.455,76,0.0,2,8,2011,11,4
2,0,1,2,25.42,30.305,69,8.9981,46,268,2011,5,2
2,0,0,1,21.32,25.0,72,12.998,4,8,2012,5,13
4,0,0,1,13.94,17.425,61,6.0032,66,327,2012,12,15
3,0,1,2,29.52,34.85,79,15.0013,11,126,2012,9,6
2,0,1,2,22.96,26.515,88,0.0,26,640,2012,5,2
2,0,1,2,22.14,25.76,52,6.0032,36,87,2011,4,18
2,1,0,1,18.04,21.97,67,0.0,6,21,2011,4,15
1,0,1,1,4.92,6.06,50,15.0013,0,1,2011,1,10
4,0,0,2,15.58,19.695,82,12.998,27,99,2011,10,1
1,0,1,1,8.2,11.365,55,6.0032,1,17,2012,3,5
1,0,1,2,7.38,12.12,55,0.0,1,26,2011,1,14
4,0,1,3,18.04,21.97,88,43.0006,0,5,2012,11,13
1,0,1,3,15.58,19.695,0,19.0012,1,43,2011,3,10
4,0,1,1,21.32,25.0,83,7.0015,11,417,2012,10,5
2,0,0,3,13.12,16.665,81,8.9981,84,100,2011,4,2
1,0,0,1,7.38,9.85,59,11.0014,2,57,2011,1,15
1,0,1,1,16.4,20.455,47,15.0013,0,23,2012,1,10
2,0,1,3,16.4,20.455,94,22.0028,0,2,2011,4,13
4,0,1,3,18.86,22.725,94,6.0032,0,5,2011,11,16
1,0,1,1,13.94,15.15,34,19.9995,7,59,2011,2,16
1,0,1,1,5.74,8.335,59,7.0015,2,10,2011,1,11
4,0,1,1,18.86,22.725,59,7.0015,18,407,2011,11,7
2,0,0,1,14.76,18.18,66,7.0015,2,5,2012,4,14
2,0,0,1,21.32,25.0,55,15.0013,110,236,2012,4,1
4,0,0,2,16.4,20.455,82,12.998,6,83,2012,12,16
3,0,1,2,30.34,34.09,58,8.9981,61,205,2012,7,9
1,0,1,1,18.86,22.725,88,7.0015,16,563,2012,3,19
2,0,1,1,18.86,22.725,77,12.998,0,2,2012,5,10
2,0,1,1,26.24,31.06,57,11.0014,6,5,2012,4,17
1,0,1,2,13.12,17.425,66,0.0,11,102,2012,2,10
2,0,0,1,31.16,35.605,62,8.9981,110,215,2011,6,11
2,0,1,1,34.44,37.88,41,12.998,28,106,2011,6,8
4,0,0,1,12.3,14.395,49,19.0012,3,59,2011,12,17
1,0,1,3,13.12,15.91,81,12.998,1,30,2012,2,16
3,0,0,1,26.24,30.305,69,11.0014,24,65,2011,9,3
1,0,0,1,14.76,15.91,25,30.0026,21,67,2011,2,19
2,0,1,1,29.52,34.85,74,11.0014,36,110,2011,6,10
1,0,1,1,18.04,21.97,54,19.0012,20,66,2011,3,17
2,0,1,3,15.58,19.695,94,12.998,6,158,2011,4,13
1,0,1,1,17.22,21.21,38,19.9995,13,127,2012,1,10
3,0,1,1,21.32,25.0,68,15.0013,20,427,2012,9,10
4,1,0,1,13.94,15.15,39,22.0028,24,286,2011,11,11
2,0,1,1,26.24,31.06,27,15.0013,39,333,2012,4,4
1,0,0,1,15.58,19.695,40,15.0013,22,197,2012,1,8
3,0,1,3,28.7,33.335,84,19.0012,0,7,2012,8,10
1,0,1,2,15.58,19.695,43,19.0012,24,66,2011,3,15
2,0,0,1,28.7,33.335,79,8.9981,28,89,2011,6,11
2,0,1,2,22.14,25.76,68,11.0014,19,53,2011,4,19
2,0,1,1,30.34,34.09,62,19.0012,48,156,2011,6,17
3,0,1,2,30.34,34.85,66,23.9994,75,240,2012,8,10
2,0,0,1,25.42,29.545,78,7.0015,61,223,2012,5,5
2,0,1,2,12.3,13.635,93,19.9995,9,42,2011,4,8
3,0,0,1,28.7,33.335,89,12.998,1,4,2011,8,7
3,0,0,1,28.7,33.335,74,8.9981,150,147,2011,9,4
3,0,1,1,22.96,26.515,73,0.0,33,725,2012,9,13
3,0,1,1,29.52,34.85,74,7.0015,35,198,2012,8,8
3,0,1,1,31.16,35.605,62,12.998,56,134,2012,7,10
2,0,1,2,26.24,28.79,83,15.0013,24,274,2012,6,1
3,0,1,1,29.52,34.09,62,15.0013,49,256,2011,8,1
3,0,0,1,30.34,34.09,58,11.0014,83,155,2011,7,9
3,0,1,2,24.6,28.79,78,11.0014,51,715,2012,9,14
2,0,0,3,22.14,25.76,94,8.9981,42,115,2011,5,14
2,0,1,1,27.06,31.06,57,6.0032,29,160,2011,6,6
4,0,1,1,13.12,14.395,45,26.0027,4,101,2012,12,5
3,0,1,1,29.52,34.85,74,8.9981,20,70,2011,7,11
3,0,1,1,31.16,36.365,66,7.0015,2,14,2012,7,18
2,0,1,1,17.22,21.21,35,12.998,8,86,2012,4,12
1,0,1,3,12.3,15.91,61,7.0015,5,49,2012,2,8
3,0,1,1,30.34,34.85,66,8.9981,2,2,2012,7,18
3,0,0,1,27.06,29.545,89,22.0028,9,68,2012,9,8
4,0,1,1,19.68,23.485,63,12.998,5,17,2011,10,6
1,0,1,1,5.74,5.305,33,31.0009,8,46,2011,2,8
2,0,0,1,32.8,37.88,55,12.998,150,237,2011,6,11
4,0,1,2,22.14,25.76,64,12.998,43,201,2012,10,9
4,0,1,2,24.6,28.79,78,15.0013,46,493,2011,10,11
4,0,1,1,10.66,11.365,52,22.0028,1,109,2011,12,8
4,0,1,1,18.86,22.725,88,12.998,4,53,2012,10,18
1,0,1,1,18.04,21.97,33,15.0013,9,46,2011,2,14
3,0,1,1,27.06,30.305,83,7.0015,24,141,2011,8,18
1,0,1,1,9.84,11.365,65,12.998,18,252,2012,2,3
1,0,0,3,9.02,9.09,69,31.0009,13,131,2012,2,11
4,0,1,1,13.12,17.425,93,0.0,12,392,2011,12,5
2,0,0,1,22.96,26.515,43,11.0014,79,213,2012,5,19
4,0,0,1,18.86,22.725,59,8.9981,78,137,2012,10,6
2,0,1,1,14.76,16.665,50,23.9994,18,92,2011,4,1
4,0,0,1,12.3,15.91,70,7.0015,19,64,2011,12,4
4,0,1,1,13.94,16.665,76,8.9981,2,5,2011,11,3
4,0,1,1,9.84,10.605,52,26.0027,7,218,2011,12,8
1,0,1,1,9.84,9.85,44,30.0026,2,101,2012,1,13
3,0,0,2,27.88,31.82,89,11.0014,29,86,2012,7,15
3,0,1,1,29.52,33.335,54,7.0015,41,296,2012,8,16
3,0,1,1,29.52,34.85,74,8.9981,34,615,2012,7,10
2,0,1,1,24.6,28.79,78,7.0015,4,43,2012,5,2
1,0,0,1,20.5,24.24,31,32.9975,168,144,2011,3,19
1,0,0,1,15.58,19.695,43,15.0013,78,273,2012,1,8
4,0,1,1,12.3,15.91,42,6.0032,37,175,2012,12,6
4,0,0,1,12.3,15.15,52,11.0014,11,95,2012,11,17
4,0,1,1,8.2,12.88,69,0.0,0,9,2011,12,12
2,0,1,1,14.76,17.425,46,15.0013,28,610,2012,4,5
3,0,1,1,31.16,34.09,43,15.0013,91,704,2012,7,12
2,0,1,1,22.14,25.76,26,8.9981,107,564,2012,4,13
1,0,1,2,27.06,31.06,41,6.0032,62,211,2012,3,15
3,0,0,1,26.24,28.79,83,8.9981,1,5,2011,9,4
1,0,1,1,5.74,6.06,39,23.9994,1,44,2011,2,10
3,0,1,3,28.7,33.335,84,19.0012,4,29,2012,8,10
2,0,1,1,30.34,32.575,28,26.0027,42,123,2011,6,2
2,0,1,2,23.78,27.275,78,12.998,49,179,2012,5,2
3,0,0,1,29.52,33.335,51,15.0013,108,188,2011,7,16
3,0,0,2,27.06,31.06,74,0.0,86,184,2012,8,19
3,0,1,1,29.52,34.09,70,12.998,15,56,2012,8,3
2,0,0,1,25.42,31.06,41,6.0032,157,365,2012,5,12
1,0,1,1,17.22,21.21,38,23.9994,19,504,2012,2,14
4,0,1,2,13.12,16.665,66,8.9981,11,142,2012,11,15
1,0,1,1,9.02,9.85,35,26.0027,6,45,2011,2,8
4,0,1,2,14.76,17.425,81,8.9981,1,5,2011,11,1
2,0,0,2,21.32,25.0,100,0.0,5,34,2011,5,15
3,0,0,2,26.24,28.03,94,11.0014,1,9,2011,8,14
4,0,1,1,17.22,21.21,38,12.998,52,226,2012,11,16
4,0,1,1,18.04,21.97,88,15.0013,0,5,2012,10,18
1,0,1,1,9.02,11.365,51,11.0014,3,61,2011,2,4
4,0,0,1,6.56,8.335,59,11.0014,0,5,2011,12,11
3,0,0,1,31.16,34.09,45,19.9995,221,276,2011,7,16
4,0,1,1,24.6,31.06,40,11.0014,58,261,2012,10,10
3,0,0,1,29.52,33.335,54,19.0012,66,88,2011,7,2
2,0,0,1,23.78,27.275,64,0.0,148,288,2012,6,17
3,0,1,2,26.24,28.79,83,8.9981,19,468,2012,8,1
2,0,1,1,22.14,25.76,24,11.0014,75,352,2012,4,13
2,0,0,1,14.76,17.425,71,8.9981,24,136,2012,4,14
3,0,1,1,32.8,35.605,41,12.998,38,138,2011,8,17
1,0,0,1,5.74,8.335,54,7.0015,6,14,2012,1,14
4,0,1,1,9.02,10.605,51,19.9995,13,646,2012,12,6
3,0,0,1,34.44,40.15,53,19.9995,195,219,2011,7,3
2,0,1,2,28.7,33.335,74,23.9994,72,238,2012,6,1
4,0,1,1,18.04,21.97,72,7.0015,12,292,2011,11,9
4,0,0,2,10.66,12.88,56,15.0013,4,55,2011,12,17
4,0,0,2,14.76,17.425,57,12.998,23,178,2012,12,15
4,0,0,1,13.94,18.18,53,0.0,45,159,2011,11,5
3,0,1,3,24.6,27.275,88,19.9995,19,122,2012,9,18
1,0,1,3,14.76,16.665,0,22.0028,9,29,2011,3,10
2,0,1,1,22.96,26.515,26,7.0015,98,460,2012,4,3
1,0,1,1,18.04,21.97,72,6.0032,4,113,2012,3,15
1,0,1,1,12.3,14.395,33,15.0013,11,134,2011,3,7
1,0,0,2,16.4,20.455,87,16.9979,11,25,2011,1,1
4,0,0,1,11.48,14.395,81,8.9981,5,7,2012,11,18
3,0,1,1,27.06,31.06,54,7.0015,75,186,2011,7,15
2,0,1,1,27.88,31.82,83,12.998,47,444,2012,6,12
3,0,1,1,32.8,37.12,49,7.0015,66,156,2011,8,19
1,0,1,1,6.56,6.82,37,19.0012,10,135,2011,3,3
4,0,0,1,20.5,24.24,77,0.0,66,119,2011,10,9
3,0,0,3,27.06,31.06,65,16.9979,90,168,2011,9,3
1,1,0,3,5.74,6.06,93,16.9979,0,13,2011,1,17
1,0,1,1,8.2,8.335,40,27.9993,5,119,2012,1,18
2,0,1,1,18.86,22.725,63,0.0,12,156,2011,4,18
2,0,1,3,22.14,25.76,94,16.9979,1,3,2011,5,17
1,0,0,1,13.94,18.18,46,0.0,47,135,2011,2,6
3,0,1,1,32.8,35.605,41,15.0013,55,248,2011,8,16
1,0,0,1,13.94,16.665,76,8.9981,6,17,2011,3,13
4,0,1,2,18.86,22.725,67,0.0,7,126,2011,12,5
4,0,1,1,10.66,14.395,70,6.0032,3,70,2011,12,1
3,0,1,1,25.42,28.79,83,7.0015,7,62,2011,9,12
2,0,0,2,14.76,17.425,81,8.9981,79,123,2011,4,9
1,0,1,1,24.6,31.06,43,12.998,45,131,2011,2,18
4,0,1,1,21.32,25.0,48,11.0014,26,153,2011,11,9
1,0,1,1,9.84,10.605,35,19.0012,8,53,2011,1,3
4,0,0,2,15.58,19.695,76,11.0014,34,128,2011,10,2
4,0,1,2,14.76,17.425,53,11.0014,17,234,2011,12,19
2,0,1,1,23.78,27.275,40,11.0014,36,194,2011,6,3
4,0,1,1,13.94,15.91,46,15.0013,31,119,2012,11,5
2,0,1,3,18.86,22.725,51,7.0015,15,95,2012,4,18
3,0,1,1,25.42,31.06,53,16.9979,0,6,2011,7,14
1,0,1,2,13.94,17.425,81,7.0015,3,142,2012,2,16
1,0,1,2,15.58,19.695,29,26.0027,49,175,2012,3,9
3,0,1,2,31.16,36.365,66,12.998,54,224,2012,8,3
1,0,1,1,14.76,16.665,87,16.9979,3,4,2012,1,13
4,0,1,1,16.4,20.455,82,0.0,21,116,2011,11,3
1,0,1,2,9.84,12.88,92,7.0015,1,89,2011,1,19
4,0,1,1,17.22,21.21,38,8.9981,30,237,2012,11,16
2,0,1,3,17.22,21.21,77,7.0015,2,11,2012,4,19
3,0,1,1,30.34,34.85,70,11.0014,64,598,2012,9,5
3,0,1,3,29.52,33.335,54,16.9979,54,144,2011,9,1
2,0,0,1,20.5,24.24,68,0.0,1,11,2012,6,3
4,0,1,3,18.86,22.725,88,26.0027,3,108,2011,11,16
4,0,0,1,13.12,14.395,53,23.9994,7,134,2012,11,4
3,0,0,2,28.7,33.335,84,19.0012,14,66,2011,8,7
2,0,1,1,30.34,32.575,37,16.9979,129,287,2012,6,8
2,0,1,3,21.32,25.0,94,12.998,3,72,2012,5,14
1,1,0,1,12.3,13.635,36,27.9993,10,141,2012,1,2
2,0,0,1,22.96,26.515,83,7.0015,78,153,2011,5,15
2,0,1,1,18.86,22.725,41,12.998,16,99,2011,5,5
4,0,0,2,13.94,18.18,87,0.0,0,6,2012,12,16
3,0,0,1,23.78,27.275,100,8.9981,8,29,2011,9,10
2,0,1,1,28.7,31.82,37,8.9981,83,256,2012,6,8
3,0,0,1,28.7,31.82,37,16.9979,213,458,2012,9,9
3,0,0,2,28.7,32.575,51,7.0015,13,105,2012,7,14
2,0,1,2,17.22,21.21,58,0.0,6,120,2012,4,4
2,0,1,2,20.5,24.24,82,12.998,31,608,2012,5,7
2,0,1,1,27.06,31.06,61,12.998,45,110,2011,5,2
